Region,Model,Metric,PointEstimate,CI_lower,CI_upper,n_valid_boot
Europe,TabNet (baseline),F1,0.6834862385321101,0.6483310503929061,0.7200922281271005,2000
Europe,TabNet (baseline),ROC-AUC,0.8272489107397024,0.8017441926661857,0.8528099696530472,2000
Europe,TabNet (baseline),PR-AUC,0.8029797802552014,0.7700509003499846,0.8348843729227398,2000
Europe,Proposed SFTNN,Accuracy,0.7713546160483176,0.7471958584987057,0.7963977566867989,2000
Europe,Proposed SFTNN,Precision,0.7634408602150538,0.7195672442807113,0.808522591441549,2000
Europe,Proposed SFTNN,Recall,0.6160520607375272,0.570450607560756,0.66125745216568,2000
Europe,Proposed SFTNN,F1,0.6818727490996399,0.6447478008281978,0.7190047748948992,2000
Europe,Proposed SFTNN,ROC-AUC,0.8253221164902511,0.7986149249189984,0.8501914110796273,2000
Europe,Proposed SFTNN,PR-AUC,0.786516327273241,0.7466669642046365,0.822967864678443,2000
Latin America,Standard MLP (baseline),Accuracy,0.780952380952381,0.6952380952380952,0.8571428571428571,2000
Latin America,Standard MLP (baseline),Precision,0.7419354838709677,0.5757575757575758,0.8888888888888888,2000
Latin America,Standard MLP (baseline),Recall,0.6052631578947368,0.4482531760435572,0.7567567567567568,2000
Latin America,Standard MLP (baseline),F1,0.6666666666666666,0.5230769230769231,0.7857435597189694,2000
Latin America,Standard MLP (baseline),ROC-AUC,0.842498036135114,0.7563111455341165,0.91172047332245,2000
Latin America,Standard MLP (baseline),PR-AUC,0.8036705386049139,0.687702182433946,0.8948869871678085,2000
Latin America,XGBoost (baseline),Accuracy,0.8,0.7235714285714285,0.8761904761904762,2000
Latin America,XGBoost (baseline),Precision,0.8148148148148148,0.6428571428571429,0.9524350649350646,2000
Latin America,XGBoost (baseline),Recall,0.5789473684210527,0.42105263157894735,0.7297297297297297,2000
Latin America,XGBoost (baseline),F1,0.676923076923077,0.5245901639344263,0.8,2000
Latin America,XGBoost (baseline),ROC-AUC,0.8609583660644148,0.768137019010431,0.931252923704693,2000
Latin America,XGBoost (baseline),PR-AUC,0.8393442465720385,0.7298496093241057,0.9178458539800984,2000
Latin America,TabNet (baseline),Accuracy,0.8095238095238095,0.7333333333333333,0.8761904761904762,2000
Latin America,TabNet (baseline),Precision,0.9090909090909091,0.7692307692307693,1.0,2000
Latin America,TabNet (baseline),Recall,0.5263157894736842,0.36839419978517723,0.68295892169448,2000
Latin America,TabNet (baseline),F1,0.6666666666666666,0.5084745762711864,0.7868852459016393,2000
Latin America,TabNet (baseline),ROC-AUC,0.8059701492537313,0.705547218535403,0.8922163549179677,2000
Latin America,TabNet (baseline),PR-AUC,0.7905418592830267,0.6695439248370262,0.8829780881712459,2000
Latin America,Proposed SFTNN,Accuracy,0.780952380952381,0.6952380952380952,0.8571428571428571,2000
Latin America,Proposed SFTNN,Precision,0.8260869565217391,0.6521739130434783,0.9615384615384616,2000
Latin America,Proposed SFTNN,Recall,0.5,0.34210526315789475,0.6666666666666666,2000
Latin America,Proposed SFTNN,F1,0.6229508196721312,0.4650955149501661,0.7567567567567568,2000
Latin America,Proposed SFTNN,ROC-AUC,0.8095051060487037,0.7170269691780822,0.8895200645171765,2000
Latin America,Proposed SFTNN,PR-AUC,0.7710749689549868,0.6502666877416814,0.8690661073148547,2000
North America,Standard MLP (baseline),Accuracy,0.7581499024797994,0.7447757035385901,0.7723599888548343,2000
North America,Standard MLP (baseline),Precision,0.76843146956952,0.749369213700458,0.7867805791416841,2000
North America,Standard MLP (baseline),Recall,0.7951868919610855,0.7785429510417388,0.8132356304344432,2000
North America,Standard MLP (baseline),F1,0.7815802717664821,0.7670032688368275,0.7957534584555005,2000
North America,Standard MLP (baseline),ROC-AUC,0.842190623916312,0.829664794037513,0.8547149725638263,2000
North America,Standard MLP (baseline),PR-AUC,0.8659160842741587,0.8501786307102279,0.8812466160164769,2000
North America,XGBoost (baseline),Accuracy,0.7645583728057955,0.7514488715519644,0.7782112008916132,2000
North America,XGBoost (baseline),Precision,0.8024017467248908,0.7834068706081226,0.8209546280904,2000
North America,XGBoost (baseline),Recall,0.7526881720430108,0.7349544975797064,0.7718250450014776,2000
North America,XGBoost (baseline),F1,0.7767503302509907,0.762077990042063,0.7915542206747687,2000
North America,XGBoost (baseline),ROC-AUC,0.8467037733935755,0.834981201996411,0.8589453924603577,2000
North America,XGBoost (baseline),PR-AUC,0.8733630070787873,0.8584827049915145,0.8873152051564784,2000
North America,TabNet (baseline),Accuracy,0.7603789356366676,0.746997770966843,0.774867651156311,2000
North America,TabNet (baseline),Precision,0.7838961038961039,0.7647660894464139,0.8032535306968503,2000
North America,TabNet (baseline),Recall,0.7726574500768049,0.7546827797913944,0.7915179701068233,2000
North America,TabNet (baseline),F1,0.778236204228984,0.7639737145418454,0.7930099681760793,2000
North America,TabNet (baseline),ROC-AUC,0.8402481230681405,0.8278353287194429,0.8533706862966851,2000
North America,TabNet (baseline),PR-AUC,0.8683774267961636,0.8539419127592073,0.8827469134155376,2000
North America,Proposed SFTNN,Accuracy,0.7626079687935358,0.7495123989969351,0.7768180551685706,2000
North America,Proposed SFTNN,Precision,0.7781707933299646,0.7589393358793867,0.7967969966971465,2000
North America,Proposed SFTNN,Recall,0.7885304659498208,0.7706788455403554,0.8071259370828056,2000
North America,Proposed SFTNN,F1,0.7833163784333672,0.7684193460304457,0.7978259926934833,2000
