Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Invest-mentType,Amount (in USD),Year,Source_File
81.0,30/8/2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,"104,000",2016,Aug_2016.csv
82.0,30/8/2016,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,"60,000,000",2016,Aug_2016.csv
83.0,30/8/2016,CropIn,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,"2,000,000",2016,Aug_2016.csv
84.0,30/8/2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,"3,000,000",2016,Aug_2016.csv
85.0,30/8/2016,Prime Focus Technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,,2016,Aug_2016.csv
86.0,31/8/2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,"5,300,000",2016,Aug_2016.csv
87.0,31/8/2016,inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,,2016,Aug_2016.csv
88.0,31/8/2016,,,,,,,,2016,Aug_2016.csv
89.0,,,,,,,,,2016,Aug_2016.csv
1.0,01/12/2016,SidQam,Technology,Healthcare Software System,Noida,"SQue Capital, Grace Capital Ventures, Soham Vencaps",Private Equity,"1,200,000",2016,Dec_2016.csv
2.0,01/12/2016,India Lends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"DSG Consumer Partners, American Express Ventures, Cyber Carrier VC, AdvantEdge Partners",Private Equity,"4,000,000",2016,Dec_2016.csv
3.0,01/12/2016,Slide App,Consumer Internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,"3,600,000",2016,Dec_2016.csv
4.0,02/12/2016,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,"100,000",2016,Dec_2016.csv
5.0,02/12/2016,Streo,Consumer Internet,Live Music Streaming App,Bangalore,"GEMs Advisory, Quarizon",Seed Funding,,2016,Dec_2016.csv
6.0,02/12/2016,TYGR,Technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,"3,000,000",2016,Dec_2016.csv
7.0,05/12/2016,Mr Hot Foods,Consumer Internet,Online Food Ordering & Delivery Portal,Indore,IvyCamp Ventures,Seed Funding,,2016,Dec_2016.csv
8.0,05/12/2016,UrDoorStep,eCommerce,Online Grocery Store,Bangalore,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,"1,400,000",2016,Dec_2016.csv
9.0,05/12/2016,ONN Bikes,eCommerce,"On-demand, self-drive bike rental platform",Mumbai,Grace Capital Ventures,Seed Funding,,2016,Dec_2016.csv
10.0,06/12/2016,Diro Labs,Consumer Internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,"147,000",2016,Dec_2016.csv
11.0,06/12/2016,THB,Technology,Clinical research and data analytics,Gurgaon,"Ajith Sukumaran, Currae Healthtech Fund",Seed Funding,,2016,Dec_2016.csv
12.0,07/12/2016,LookAtMe,Consumer Internet,Mobile App based Fashion Network,Singapore,Eros Labs,Seed Funding,,2016,Dec_2016.csv
13.0,07/12/2016,Netree,eCommerce,Mobile-only Retailers Engagement Solution,New Delhi,"The Chennai Angels, LetsVenture",Seed Funding,,2016,Dec_2016.csv
14.0,07/12/2016,BookEventz,Consumer Internet,"Venue, Events Booking platform",Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,,2016,Dec_2016.csv
15.0,07/12/2016,Tailslife,Consumer Internet,Pet Parenting mobile app,Bangalore,"Mohan Kumar, V. Balakrishnan",Seed Funding,,2016,Dec_2016.csv
16.0,07/12/2016,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,"9,000,000",2016,Dec_2016.csv
17.0,07/12/2016,WealthApp,Consumer Internet,Online Investment Advisory platform,Bangalore,"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,  Ramkumar Nishtal, Arjun Sharmaa",Seed Funding,"440,000",2016,Dec_2016.csv
18.0,07/12/2016,Vehico,Technology,Connected Transportation solutions,Bangalore,"Calcutta Angel Network, Appliyifi",Seed Funding,,2016,Dec_2016.csv
19.0,08/12/2016,Zest Money,Consumer Internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,"6,500,000",2016,Dec_2016.csv
20.0,08/12/2016,GoMechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,Venture Catalysts,Seed Funding,"250,000",2016,Dec_2016.csv
21.0,09/12/2016,Stalk Buy Love,eCommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,"6,000,000",2016,Dec_2016.csv
22.0,09/12/2016,Nykaa,eCommerce,Beauty Products etailer,Mumbai,Max Ventures and Industries,Private Equity,,2016,Dec_2016.csv
23.0,09/12/2016,Wittyparot,Technology,Content Management & Productivity platform,Bangalore,Mumbai Angels,Seed Funding,"450,000",2016,Dec_2016.csv
24.0,09/12/2016,NeuroEquilibrium,Technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,"250,000",2016,Dec_2016.csv
25.0,12/12/2016,Xseed Education,Technology,Education & learning Tech platform,Bangalore,Verlinvest SA,Private Equity,"10,000,000",2016,Dec_2016.csv
26.0,12/12/2016,Rupaiya Exchange,Consumer Internet,P2P Lending platform,New Delhi,Undisclosed Investors,Seed Funding,"200,000",2016,Dec_2016.csv
27.0,12/12/2016,Doctor Insta,Consumer Internet,Online Doctor Consulting platform,Gurgaon,RoundGlass Partners,Private Equity,"2,000,000",2016,Dec_2016.csv
28.0,12/12/2016,UrbanPiper,Consumer Internet,Self-Branded Websites & Apps for Ecommerce,Bangalore,"Axilor, undisclosed investors",Seed Funding,,2016,Dec_2016.csv
29.0,12/12/2016,Fresh Food Concepts,Food & Beverage,Cold Press Juice manufacturer & seller,New Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed Funding,"2,000,000",2016,Dec_2016.csv
30.0,13/12/2016,Indifi,Consumer Internet,Online lending platform,Gurgaon,Omidyar Network,Private Equity,"10,000,000",2016,Dec_2016.csv
31.0,13/12/2016,GoComet,Logistics,Marketplace for International Freight,Mumbai,"India Quotient, Rajul Garg, Rajesh Yabaji, Chanakya Hridaya, Ramasubramaniam B, Vishwanathan, Nobel House, Sunstone Capital",Seed Funding,,2016,Dec_2016.csv
32.0,13/12/2016,OfBusiness,eCommerce,Online business-to-business (B2B) marketplace,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private Equity,"11,100,000",2016,Dec_2016.csv
33.0,14/12/2016,Fitmein,Consumer Internet,Fitness Discovery & Booking platform,New Delhi,"FiNC, GHV",Seed Funding,,2016,Dec_2016.csv
34.0,14/12/2016,Qacco,Consumer Internet,Hotel Booking platform,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",Seed Funding,"150,000",2016,Dec_2016.csv
35.0,14/12/2016,Fitpass,Consumer Internet,Fitness center aggregator & Booking mobile app,New Delhi,Mumbai Angels,Seed Funding,"1,000,000",2016,Dec_2016.csv
36.0,14/12/2016,MoEngage,Technology,User analytics and engagement platform,Bangalore,Anand Chandrasekaran,Seed Funding,,2016,Dec_2016.csv
37.0,14/12/2016,Ten3t Health,Technology,medical grade wearable patch maker,Bangalore,"V. Krishna Prasad, Bhupen Shah & Others",Seed Funding,,2016,Dec_2016.csv
38.0,14/12/2016,Trading Bells,Consumer Internet,Online Share & Commodity Broking platform,Indore,Swastika Investmart Ltd,Seed Funding,"297,000",2016,Dec_2016.csv
39.0,15/12/2016,SERV’D,Consumer Internet,Financial Services For Unorganized Workforce,Pune,Digital Financial Service Lab,Seed Funding,"100,000",2016,Dec_2016.csv
40.0,15/12/2016,IdeaForge,Technology,Drone Manufacturing,Mumbai,"WRV Capital and IndusAge Partners, Infosys Innovation Fund",Private Equity,"10,000,000",2016,Dec_2016.csv
41.0,15/12/2016,Amagi Media Labs,Technology,Media Technology Solutions,Mumbai,"Emerald Media, Premji Invest",Private Equity,"35,000,000",2016,Dec_2016.csv
42.0,15/12/2016,Pocket Aces,Technology,Digital Entertainment Company,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private Equity,"3,000,000",2016,Dec_2016.csv
43.0,16/12/2016,Pi Data Centers,Technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,"23,000,000",2016,Dec_2016.csv
44.0,16/12/2016,TripShelf,Consumer Internet,Holiday Packages provider,New Delhi,"GEMS Advisory, Quarizon",Seed Funding,"123,000",2016,Dec_2016.csv
45.0,19/12/2016,Events High,Consumer Internet,Events & Activities Marketplace,Bangalore,Axilor Ventures,Private Equity,,2016,Dec_2016.csv
46.0,19/12/2016,NoBroker,Consumer Internet,Rental property search portal,Bangalore,"KTB Network, SAIF Partners, BEENEXT, Digital Garage",Private Equity,"7,400,000",2016,Dec_2016.csv
47.0,20/12/2016,VivoCarat,eCommerce,Online jewellery marketplace,Mumbai,Undisclosed Investors,Seed Funding,"50,000",2016,Dec_2016.csv
48.0,20/12/2016,Tiyo,Consumer Internet,Doctor Search Mobile App,Kolkata,Ajith Nair,Seed Funding,,2016,Dec_2016.csv
49.0,20/12/2016,Zoomcar,Consumer Internet,Self-Driven Cab booking platform,Bangalore,Cyber Carrier CL,Private Equity,,2016,Dec_2016.csv
50.0,20/12/2016,BYJU’s,Consumer Internet,Online Learning platform,Bangalore,International Financial Corporation,Private Equity,"15,000,000",2016,Dec_2016.csv
51.0,21/12/2016,Supr Daily,Consumer Internet,Daily Subscription based Delivery service,Mumbai,"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani",Seed Funding,,2016,Dec_2016.csv
52.0,21/12/2016,The BlueBook,Consumer Internet,online to offline marketing platform,Bangalore,"Indian Angel Network, Let’s Venture",Seed Funding,"500,000",2016,Dec_2016.csv
53.0,21/12/2016,MamaEarth,eCommerce,Babycare Products seller,New Delhi,Fireside Ventures & Others,Seed Funding,,2016,Dec_2016.csv
54.0,21/12/2016,Vegetall,eCommerce,Online Vegetable eTailer,Chennai,The Chennai Angels,Seed Funding,"162,000",2016,Dec_2016.csv
55.0,22/12/2016,Innoplexus,Technology,Data as a Service Provider,Pune,HCS Venture capital fund,Private Equity,,2016,Dec_2016.csv
56.0,22/12/2016,Mindler,Consumer Internet,Career Planning & Assessment platform,New Delhi,Taxmann,Seed Funding,"324,000",2016,Dec_2016.csv
57.0,22/12/2016,MCaffeine,eCommerce,Personal care product etailer,Bangalore,"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",Seed Funding,"300,000",2016,Dec_2016.csv
58.0,23/12/2016,enKast,Technology,Cloud based CRM for Agencies,Bangalore,Ivy League Alumni Angel Network,Private Equity,"2,000,000",2016,Dec_2016.csv
59.0,23/12/2016,ShopKirana,eCommerce,B2B platform for Merchants & Retailers,Indore,"Incubate Fund, Lead Angels Group & Others",Private Equity,,2016,Dec_2016.csv
60.0,23/12/2016,MyAdvo,Consumer Internet,Legal Advice Platform,New Delhi,"Pradyumna Dalmia, S. Somasegar & Others",Seed Funding,,2016,Dec_2016.csv
61.0,23/12/2016,Asocon,Technology,Process management startup,Noida,Quarizon,Seed Funding,,2016,Dec_2016.csv
62.0,23/12/2016,LexComply,Consumer Internet,Compliance Management Software,New Delhi,Ajay Relan,Seed Funding,,2016,Dec_2016.csv
63.0,26/12/2016,The Postbox,eCommerce,Art & Lifestyle ECommerce Store,Chennai,"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram",Seed Funding,,2016,Dec_2016.csv
64.0,26/12/2016,Pandorum Technologies,Technology,3D printed experimental Human Liver tissue creator,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,,2016,Dec_2016.csv
65.0,26/12/2016,Dekkho,Consumer Internet,Video Streaming platform,Mumbai,undisclosed investors,Seed Funding,"1,200,000",2016,Dec_2016.csv
66.0,26/12/2016,Shadowfox,Logistics,On-Demand Delivery Service,Gurgaon,Eight Roads Ventures,Private Equity,"10,000,000",2016,Dec_2016.csv
67.0,27/12/2016,ShopX,eCommerce,SAAS ECommerce Retail app,Bangalore,Nandan Nilekani,Private Equity,"5,000,000",2016,Dec_2016.csv
68.0,28/12/2016,BookEventz,Consumer Internet,Online event-booking platform,Mumbai,"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian",Seed Funding,,2016,Dec_2016.csv
69.0,29/12/2016,Healthifyme,Consumer Internet,Fitness Mobile App,Bangalore,NB Ventures,Private Equity,"1,000,000",2016,Dec_2016.csv
70.0,29/12/2016,LetsMD,Consumer Internet,Healthcare plan comparison platform,New Delhi,"WaterBridge Ventures,",Seed Funding,,2016,Dec_2016.csv
71.0,29/12/2016,Justbooks,Consumer Internet,Library Chain Aggregator,Bangalore,CoCreate Ventures,Seed Funding,,2016,Dec_2016.csv
72.0,30/12/2016,InstantPay,Consumer Internet,Digital payments & recharge platform,New Delhi,"RB Investments,  Kaleden Holdings",Private Equity,,2016,Dec_2016.csv
73.0,30/12/2016,,,,,,,,2016,Dec_2016.csv
74.0,,,,,,,,,2016,Dec_2016.csv
75.0,,,,,,,,,2016,Dec_2016.csv
1.0,01/2/2016,Blue Tokai Coffee,ECommerce,Specialty Coffee Etailer,New Delhi,Snow Leopard Technology Ventures,Seed Funding,,2016,Feb_2016.csv
2.0,02/2/2016,Altizone,Technology,IoT & M2M Solutions,Pune,"Wipro Ventures,  Lumis Partners",Private Equity,"4,000,000",2016,Feb_2016.csv
3.0,02/2/2016,Oust App,Consumer Internet,Competitive Exam Preparation Platform,Bangalore,"T V Mohandas Pai,  Aarin Capital",Seed Funding,,2016,Feb_2016.csv
4.0,02/2/2016,Strike,Consumer Internet,Mobile Email productivity tool,Bangalore,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500",2016,Feb_2016.csv
5.0,02/2/2016,MaaxMarket,Consumer Internet,Marketing Automation platform,,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500",2016,Feb_2016.csv
6.0,02/2/2016,Gamooz,Technology,Augmented Reality Solutions,Gurgaon,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500",2016,Feb_2016.csv
7.0,02/2/2016,SoundSurround,Technology,Audio Technology Solutions,Mumbai,Multiple investors through Ten Minute Million competition,Seed Funding,"22,500",2016,Feb_2016.csv
8.0,03/2/2016,Mazkara,Consumer Internet,Beauty & Wellness Platform,Pune / Dubai,Dunamis Ventures Pte Ltd.,Seed Funding,"1,000,000",2016,Feb_2016.csv
9.0,03/2/2016,RoadGods,ECommerce,Auto Spare Parts eTailer,New Delhi,Green House Ventures (GHV),Seed Funding,"100,000",2016,Feb_2016.csv
10.0,03/2/2016,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),Seed Funding,"100,000",2016,Feb_2016.csv
11.0,03/2/2016,Woodpie,Consumer Internet,Book Recommendation Service,Bangalore,Ingram Content Group,Seed Funding,"30,000",2016,Feb_2016.csv
12.0,04/02/2016,Perfumery,ECommerce,Fragrances & Perfume eTailer,New Delhi,Oranda Global & Others,Seed Funding,"30,000",2016,Feb_2016.csv
13.0,05/02/2016,Magic Crate,Education,Children Education Platform,Bangalore,"TV Mohandas Pai, Aarin Capital",Seed Funding,,2016,Feb_2016.csv
14.0,05/02/2016,ZenDrive,Technology,Safe Driving Data & Analytics platform,Bangalore / SFO,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,"13,500,000",2016,Feb_2016.csv
15.0,05/02/2016,Smartcooky,ECommerce,Marketplace for Health Foods,New Delhi,"Vandana Luthra,",Private Equity,,2016,Feb_2016.csv
16.0,05/02/2016,Turtlemint,Consumer Internet,online personalized insurance platform,Mumbai,Nexus Venture Partners,Private Equity,,2016,Feb_2016.csv
17.0,05/02/2016,BHIVE,Real Estate,Workspace Rentals,Bangalore,"Raghunandan G, Venturesity, Arihant Patni",Seed Funding,,2016,Feb_2016.csv
18.0,05/02/2016,Gingercrush,Ecommerce,Personalized Products & Merchandize eTailer,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,"1,000,000",2016,Feb_2016.csv
19.0,05/02/2016,American Vision,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,Seed Funding,"81,000",2016,Feb_2016.csv
20.0,05/02/2016,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,Seed Funding,"52,000",2016,Feb_2016.csv
21.0,06/02/2016,Heads Up For Tails,Ecommerce,Pet Products eTailer,New Delhi,Undisclosed investors,Seed Funding,"1,000,000",2016,Feb_2016.csv
22.0,06/02/2016,LiveNutriFit,Healthcare,Weight loss & Healthcare Info portal,New Delhi,"Mohit Goel, Vinod Jain & Others",Seed Funding,,2016,Feb_2016.csv
23.0,08/02/2016,Moglix,Ecommerce,Industrial & Home Products Marketplace,New Delhi,Ratan Tata,Private Equity,,2016,Feb_2016.csv
24.0,08/02/2016,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurgaon,Green House Ventures (GHV),Seed Funding,"100,000",2016,Feb_2016.csv
25.0,08/02/2016,AdUrCup,Consumer Internet,Ad Network,New Delhi,Green House Ventures (GHV),Seed Funding,"100,000",2016,Feb_2016.csv
26.0,08/02/2016,Weddingz,Consumer Internet,online marketplace for wedding venues and vendors,Mumbai,Sixth Sense Ventures,Private Equity,,2016,Feb_2016.csv
27.0,08/02/2016,Urban Dhobi,Consumer Internet,On Demand Laundry Services,Jaipur,"Vinod Bansal, Sanjeev Singhal",Seed Funding,,2016,Feb_2016.csv
28.0,08/02/2016,Gray Routes,Consumer Internet,Last mile logistics solutions,Mumbai,"Mahesh Parasuraman, Rahul Gautam & Others",Seed Funding,,2016,Feb_2016.csv
29.0,08/02/2016,Xpressbees,ECommerce,ECommerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,"12,500,000",2016,Feb_2016.csv
30.0,08/02/2016,Invictus Oncology,Healthcare,Cancer therapeutic Info & Solutions,New Delhi,Ratan Tata,Private Equity,,2016,Feb_2016.csv
31.0,08/02/2016,Hansel.io,Technology,Mobile App Tech Solutions,Bangalore,"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney",Seed Funding,,2016,Feb_2016.csv
32.0,09/02/2016,Inc42,Consumer Internet,Startup Focused Media News Portal,New Delhi,"India Ventures, Aarin Capital & Others",Seed Funding,,2016,Feb_2016.csv
33.0,09/02/2016,GOQii,Technology,Personalized fitness coaching & Fitness band,Mumbai,Edelweiss Financial Services,Private Equity,,2016,Feb_2016.csv
34.0,10/02/2016,Capzest,Consumer Internet,Digital Lending Platform,Mumbai,Lion Ventures,Seed Funding,"200,000",2016,Feb_2016.csv
35.0,10/02/2016,GlamStudios,Consumer Internet,Online Salon Aggregator,Noida,Aqeel Ahmed,Seed Funding,,2016,Feb_2016.csv
36.0,10/02/2016,Affimity,Consumer Internet,Social Networking platform,Bangalore,undisclosed investors,Seed Funding,"1,200,000",2016,Feb_2016.csv
37.0,10/02/2016,Anandakanda,Technology,Medicine Intake Reminder System,Pune,undisclosed investors,Seed Funding,"150,000",2016,Feb_2016.csv
38.0,10/02/2016,JoulestoWatts,Technology,IT services & Talent collaboration services startup,Bangalore,Manipal Global Education Services,Seed Funding,,2016,Feb_2016.csv
39.0,10/02/2016,Shopkirana,Consumer Internet,Retailer Supply Chain platform,Indore,"Atul Jain, Anil Gelra, Jaikumar Nair",Seed Funding,,2016,Feb_2016.csv
40.0,10/02/2016,Stylofie,Consumer Internet,Online Beauty Parlour search & discovery Platform,Gurgaon,Jaideep Mehta,Seed Funding,,2016,Feb_2016.csv
41.0,10/02/2016,OyBob,eCommerce,Hyperlocal Products & Services marketplace,Gurgaon,Sachin Dalal,Seed Funding,,2016,Feb_2016.csv
42.0,12/02/2016,ActOnMagic,Technology,Cloud Analytics and Management Products,Bangalore,Jayabalan Subramanian,Seed Funding,"125,000",2016,Feb_2016.csv
43.0,12/02/2016,Bonhomia,Food & Beverage,premium Tea and Coffee,New Delhi,"Alok Rawat, Grey Orange Robotics",Seed Funding,"1,000,000",2016,Feb_2016.csv
44.0,12/02/2016,iGrenEnergi,Technology,Solar Power Solutions,Mumbai,Sunil Mehta,Seed Funding,"1,000,000",2016,Feb_2016.csv
45.0,12/02/2016,RKSV,Consumer Internet,Online Stock Trading Platform,Mumbai,Kalaari Capital,Private Equity,"4,000,000",2016,Feb_2016.csv
46.0,15/02/2016,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,Mumbai,"Aspada Advisors, IDG Ventures,  Inventus Capital",Private Equity,"5,000,000",2016,Feb_2016.csv
47.0,15/02/2016,Snapdeal,eCommerce,Horizontal Online Marketplace,New Delhi,Ontario Teachers’ Pension Plan & Others,Private Equity,"200,000,000",2016,Feb_2016.csv
48.0,15/02/2016,Jugnoo,Consumer Internet,Transportation & On-demand delivery aggregator,Chandigarh,Saumya Tandon,Private Equity,,2016,Feb_2016.csv
49.0,15/02/2016,Snapbizz,Technology,Connectivity platform for local grocery stores,Bangalore,Ratan Tata,Private Equity,,2016,Feb_2016.csv
50.0,15/02/2016,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurgaon,Mukesh Kumar Gupta,Seed Funding,"50,000",2016,Feb_2016.csv
51.0,15/02/2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bangalore,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed Funding,"300,000",2016,Feb_2016.csv
52.0,15/02/2016,Buddy,Finance,Micro Lending Platform for eCommerce purchases,Bangalore,"Blume Ventures,  Tracxn Labs",Seed Funding,"500,000",2016,Feb_2016.csv
53.0,15/02/2016,Legistify,Consumer Internet,Online Legal services platform,New Delhi,Ranjit Singh,Seed Funding,,2016,Feb_2016.csv
54.0,16/02/2016,TableHero,Consumer Internet,Dynamic Restaurant Website creator,Bangalore,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed Funding,"1,000,000",2016,Feb_2016.csv
55.0,16/02/2016,BetterPlace,Technology,Data analytics based Verification services Platform,Bangalore,Unitus Seed Fund,Seed Funding,"970,000",2016,Feb_2016.csv
56.0,16/02/2016,Salebhai,eCommerce,"Sweets, Eatables, Handicrafts Online Marketplace",Ahmedabad,"Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others",Seed Funding,,2016,Feb_2016.csv
57.0,16/02/2016,icustommadeit,eCommerce,Professional Custom creators Marketplace,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,"4,000,000",2016,Feb_2016.csv
58.0,16/02/2016,Tring,Consumer Internet,Instant Messaging App,Pune,Vishwadeep Bajaj & Others,Seed Funding,,2016,Feb_2016.csv
59.0,16/02/2016,Medinfi,Consumer Internet,Doctor & Clinics Discovery platform,Bangalore,"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal",Seed Funding,,2016,Feb_2016.csv
60.0,17/02/2016,Timemytask,Consumer Internet,On-Demand home cleaning services,Mumbai,Lead Angels,Seed Funding,,2016,Feb_2016.csv
61.0,17/02/2016,GameZop,Technology,Mobile Gaming Platform,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed Funding,"350,000",2016,Feb_2016.csv
62.0,17/02/2016,Notary Mama,Consumer Internet,On-demand Legal documentation and registration service,Bangalore,"Dr Nandish Domlur, Amit Sandill",Seed Funding,,2016,Feb_2016.csv
63.0,17/02/2016,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,"10,000,000",2016,Feb_2016.csv
64.0,17/02/2016,Avanti Learning,Education,Private Coaching Classes,New Delhi,Michael & Susan Dell Foundation,Private Equity,"5,000,000",2016,Feb_2016.csv
65.0,17/02/2016,Bollant Industries,Technology,Eco-friendly consumer & packaging products,Hyderabad,Ratan Tata,Private Equity,,2016,Feb_2016.csv
66.0,18/02/2016,GetVee,Consumer Internet,Matrimony & Couples only mobile platform,New Delhi,"Lightspeed Venture Partners, K Ganesh",Private Equity,,2016,Feb_2016.csv
67.0,18/02/2016,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,Seed Funding,"73,000",2016,Feb_2016.csv
68.0,18/02/2016,Unlaze,Consumer Internet,Social Networking app for outdoor interests,Gurgaon,"Sujal Shah, Dino Morea",Seed Funding,,2016,Feb_2016.csv
69.0,18/02/2016,Tracxn,Technology,Indian Startup ecosystem trends analyzer & funding platform,Bangalore,"Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato",Private Equity,,2016,Feb_2016.csv
70.0,18/02/2016,Careongo,ECommerce,Online Pharmacy store,New Delhi,Farooq Oomerbhoy & Other angel investors,Seed Funding,"300,000",2016,Feb_2016.csv
71.0,18/02/2016,Ark Robot,Technology,Warehouse Automation,Bangalore,Qualcomm (Through QPrize Contest),Seed Funding,"350,000",2016,Feb_2016.csv
72.0,19/02/2016,Jaypore,ECommerce,Ethnic Products marketplace,New Delhi,Aavishkaar,Private Equity,"5,000,000",2016,Feb_2016.csv
73.0,19/02/2016,Finance Buddha,Consumer Internet,Online Loan Comparison & Discovery platform,Bangalore,Chennai Angels,Seed Funding,,2016,Feb_2016.csv
74.0,19/02/2016,AlmaConnect,Consumer Internet,Alumni social network,New Delhi,"Mohandas Pai, Varun Aggarwal",Seed Funding,,2016,Feb_2016.csv
75.0,19/02/2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,Seed Funding,"400,000",2016,Feb_2016.csv
76.0,19/02/2016,LocalRamu,Consumer Internet,mobile based aggregator for local service providers,Bangalore,3 undisclosed investors,Seed Funding,,2016,Feb_2016.csv
77.0,22/02/2016,Baby Berry,Consumer Internet,Parenting Mobile app,Bangalore,Nitin Bagmane & Other undisclosed investors,Seed Funding,"1,000,000",2016,Feb_2016.csv
78.0,22/02/2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,Private Equity,"3,000,000",2016,Feb_2016.csv
79.0,22/02/2016,First Eat,Consumer Internet,Healthy Food Delivery platform,New Delhi,Undisclosed investor,Seed Funding,"100,000",2016,Feb_2016.csv
80.0,22/02/2016,SigTuple,Technology,Healthcare based Tech Solutions,Bangalore,"Sachin Bansal, Binny Bansal, Accel Partners & Others",Seed Funding,,2016,Feb_2016.csv
81.0,22/02/2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,"4,500,000",2016,Feb_2016.csv
82.0,22/02/2016,Styledotme,Consumer Internet,Mobile Fashion App,New Delhi,Indian Angel Network,Seed Funding,"37,000",2016,Feb_2016.csv
83.0,22/02/2016,NewsLaundry,Consumer Internet,Independent News Media Portal,New Delhi,"Omidyar Network,  Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",Private Equity,,2016,Feb_2016.csv
