startup_name,city,industry,sub_vertical,investors,investment_type,amount_usd,amount_flag_check_currency,funding_date,founding_date,founders,country,region_group,year_folder,source_file
PeakPerformer,Bangalore,EdTech,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.",Antler India,Early seed,,False,,2020.0,"Aishwarya Goel, Gaurav Jhunjhnuwala",India,South Asia,2021,Jul_2021.csv
MyMobiForce,Noida,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India",Bharat Inclusion,Pre-Series A,1400000.0,False,,2018.0,"Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",India,South Asia,2021,Jul_2021.csv
Pine Labs,Noida,Information Technology,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,"Fidelity, BlackRock",,600000.0,False,,1998.0,Amrish Rau,India,South Asia,2021,Jul_2021.csv
Genworks Health,Bangalore,Healthcare,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,Blacksoil,,2000000.0,False,,2015.0,S Ganeshprasad,India,South Asia,2021,Jul_2021.csv
Pocketly,Bangalore,FinTech,"Pocketly provides quick cash on hand, anytime - anywhere!",,,,False,,2019.0,"Aarav Bhatia, Navdeesh Ahuja",India,South Asia,2021,Jul_2021.csv
Neverinstall,Bangalore,Information Technology,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,Speciale Invest,Seed Funding,370000.0,False,,2019.0,"Lakshmana Pasala, Ram Pasala",India,South Asia,2021,Jul_2021.csv
CoRover,Bangalore,Information Technology,CoRover is the world’s first and the highest ROI delivering human-centric conversational AI platform.,Canbank Venture Capital Fund,,,False,,2016.0,"Ankush Sabharwal, Manav Gandotra, Kunal Bhakhri",India,South Asia,2021,Jul_2021.csv
BeatO,New Delhi,Healthcare,ULTIMATE app to manage chronic conditions.,W Health Ventures,Pre-Series B,5000000.0,False,,2015.0,Gautam Chopra,India,South Asia,2021,Jul_2021.csv
Earth Rhythm,Gurugram,Cosmetics,A mission to make customers healthier and Earth a little greener.,Anicut Angel Fund,Seed Funding,1200000.0,False,,2020.0,Harini Sivakumar,India,South Asia,2021,Jul_2021.csv
Fountain9,Mumbai,Computer software,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","021 Capital, Y Combinator",Seed Funding,1900000.0,False,,2019.0,"Niki Khokale, Rajas Lonkar",India,South Asia,2021,Jul_2021.csv
Rockclimber,Bangalore,Food & Beverages,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,Anand Prakash Sharma,,1000000.0,False,,2019.0,"Deepak Poduval, Hariprasad Shetty",India,South Asia,2021,Jul_2021.csv
SpEd@home,Mumbai,EdTech,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",,,300000.0,False,,2020.0,Dhaval Mody,India,South Asia,2021,Jul_2021.csv
CanPe,Bangalore,Computer software,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",Axilor Ventures,Seed Funding,,False,,2019.0,Arindam Choudhury,India,South Asia,2021,Jul_2021.csv
